,mae,mae,mse,mse,rse,rse,ade,ade,fde,fde
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
ConstantAvg,3.6051198542118073,0.44809611054756776,53.567967891693115,12.798422774860903,7.275638520717621,0.8505821757226006,8.909564554691315,1.1046317042396685,10.75081193447113,1.3546518309399747
RollingAvg,1.5805646032094955,0.15027668447659026,10.424014568328857,2.09701078445183,3.21515491604805,0.3149499858617147,3.653655856847763,0.35029811578665565,5.713590741157532,0.5938457541559008
gnn2rnn,0.9226214215159416,0.08114068395622857,3.017899453639984,1.194467072592706,1.7088842689990997,0.334005774910671,1.8985851258039474,0.16494809260759088,2.9544402956962585,0.2826130208700289
grnn,0.6537153497338295,0.06051302042795623,1.8284357488155365,0.5337001787711733,1.3400271385908127,0.19350599925588682,1.345162257552147,0.12734382029876537,2.7012918889522552,0.23397449867562828
lstm,0.6590735390782356,0.07189991435274923,2.0662121027708054,0.46580283283441226,1.4297608733177185,0.1585538744208288,1.364014819264412,0.13431558554777262,2.8126409351825714,0.2707216714756584
mlp,0.8184295892715454,0.08169929703241824,3.052442818880081,0.6500581423107981,1.738393634557724,0.1864906929349425,1.7716808170080185,0.18308973324659616,3.080489993095398,0.33827082757993227
rgnn,0.6190148144960403,0.06779377568996066,2.3531181812286377,1.3722681569538822,1.4796003252267838,0.4328009095609285,1.2789613455533981,0.14331631469408285,2.693508118391037,0.2835131286877962
rnn2gnn,0.6606925427913666,0.05528928368617949,2.0982069075107574,0.726553944002585,1.4302749335765839,0.24499891436460852,1.3651282340288162,0.11811157366418636,2.826733410358429,0.21189261431461115
