,train_loss,train_loss,mae,mae,rse,rse,ade,ade,fde,fde,acc,acc,pre,pre,rec,rec,mmse,mmse,made,made
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,,,,,,,
gnn2rnn,13.545466163162125,12.410259676545442,1.5945375314913637,0.27787691205803405,3.7167680216953114,2.16265819483482,2.6180766057223037,0.5462724265245397,2.709799655713136,1.2353562212529756,0.5887254849076271,0.012986847513541094,0.7416180148720741,0.025211219435010354,0.6542778983712196,0.01959165117135871,7.78843001171425,1.4537875242524438,1.2779788230545788,0.06473884761591783
grnn,4.703293136240625,0.4614545846954857,0.7514592434745225,0.13070769627206022,2.1030841860920124,0.3484526779974738,1.2156570446677437,0.20819244501039538,1.1970665538683487,0.23948840529278256,0.3835924416780472,0.054292545236516596,0.7832657918334007,0.023256147067695774,0.1834459016099572,0.07902836425079854,6.111950242483875,2.036446027720707,0.7964216987602363,0.12455322783579748
lstm,3.065894119418125,0.1319637285107956,0.7838476623874112,0.07159863647143873,1.7470108927227512,0.22856922919957098,1.2579983682371636,0.1140052083387634,1.2425168999470726,0.16819046755074352,0.6537885144352913,0.02139637233737508,0.7406758219003677,0.032611453815398816,0.7956952601671219,0.03169588526978823,3.776178818952375,1.051997692576078,0.6862009060569038,0.05810726274861247
mlp,6.0346313988719995,0.18137481139999748,0.8090982213616312,0.13244181062990457,2.4193463614210438,0.2798500206839577,1.28686353564262,0.20702706129931855,1.2903987662866676,0.29063396308620315,0.2834803927689791,0.038931011471369154,0.8112144470214844,0.13416334463831003,0.0017395631693943375,0.0013627839735840964,8.035551436477874,1.8499558032239898,0.8934101730119375,0.12725150878986372
rgnn,2.959546125655625,0.1402807469466623,0.6666647677775412,0.10170184182692495,1.7746457131579463,0.22717321831081003,1.0764277656562575,0.16675861945034232,1.0464289574883825,0.18961583940915402,0.3560994416475296,0.038055051552096486,0.8344906121492386,0.0371886839180775,0.12500924244523046,0.041374773031193864,4.0489605089528755,0.9998382395887075,0.6890475284308163,0.08940519299778285
rnn2gnn,3.7685830558593754,0.605199191593169,0.9749643970280826,0.04475540572228864,1.8623412353917912,0.156348193970922,1.5526163857430175,0.07156708335447967,1.5188696794211811,0.09205439895658893,0.6335854232311249,0.013437382344757137,0.7489676177501678,0.028179496083262617,0.7355978339910507,0.02018857962852766,3.9808262226865,1.0445876221207806,0.8061646600253838,0.06268597857834297
RollingAvg,,,0.49796516541391,0.0908351900839864,1.5802555019035875,0.26945130448832444,0.8245887933298912,0.14819114916614068,0.81801624037325,0.15244031450043774,0.7872128784656525,0.020776842386752474,0.7738211750984192,0.019689224073382,0.9945027455687522,0.0049435354628914715,3.1414738623421252,1.1156491388503487,0.4569028591504275,0.07451491230073261
ZeroBaseline,,,0.8021195593755637,0.13578563579229141,2.356582181528206,0.3282479242686042,1.2734149000607362,0.21340238084836105,1.255785278044635,0.292884424403824,0.28245798312127585,0.03854241810944244,0.0,0.0,0.0,0.0,7.82934890594275,2.032681363178651,0.8862602990120613,0.1312488352853794
gnn2rnn,8.36743233952425,8.445378353455812,1.0255717905238237,0.2141062454336084,2.6121315779164376,1.5133386937194333,1.684856344945725,0.4097249236888914,1.9154863781295688,1.1507354549792421,0.640651248395443,0.016099696855336923,0.7486092448234558,0.02297206415062215,0.7515726909041405,0.024119484105715308,5.554387644224,1.3252044590684808,0.8856370812281901,0.08812405315156185
rnn2gnn,3.171244813338375,0.3074555218376276,0.8862178307026575,0.11335469938440652,1.88426105305552,0.2869460480440835,1.4208257198333687,0.18372927274329443,1.3436411158181663,0.13354805591988037,0.6509733870625496,0.03156918071960919,0.7458695024251938,0.03654464720223136,0.7765507772564888,0.04054999768669619,3.462413715169,1.0772511537193807,0.6930393865331962,0.0736641876174946
